,tconst,startYear
13766,tt0007901,1917.0
13803,tt0007907,1917.0
13817,tt0007924,1917.0
13831,tt0007927,1917.0
13859,tt0007931,1917.0
13864,tt0007932,1917.0
13891,tt0007938,1917.0
13970,tt0007950,1917.0
14049,tt0007963,1916.0
14082,tt0007968,1917.0
14131,tt0007979,1917.0
14187,tt0007990,1917.0
14216,tt0007995,1917.0
14296,tt0008009,1917.0
14420,tt0008036,1917.0
14485,tt0008049,1917.0
14514,tt0008053,1917.0
14575,tt0008065,1917.0
14590,tt0008071,1917.0
14598,tt0008073,1917.0
14626,tt0008082,1917.0
14640,tt0008084,1917.0
14700,tt0008099,1917.0
14721,tt0008106,1917.0
14789,tt0008125,1917.0
14823,tt0008134,1917.0
14880,tt0008145,1917.0
14899,tt0008150,1916.0
15037,tt0008174,1917.0
15093,tt0008188,1917.0
15128,tt0008193,1917.0
15134,tt0008194,1917.0
15148,tt0008196,1917.0
15169,tt0008201,1917.0
15203,tt0008218,1917.0
15258,tt0008239,1917.0
15273,tt0008241,1917.0
15287,tt0008243,1917.0
15315,tt0008252,1917.0
15395,tt0008266,1917.0
15452,tt0008278,1917.0
15458,tt0008279,1917.0
15475,tt0008282,1917.0
15508,tt0008288,1917.0
15564,tt0008299,1917.0
15570,tt0008300,1916.0
15589,tt0008304,1917.0
15601,tt0008307,1917.0
15616,tt0008309,1917.0
15658,tt0008317,1917.0
15665,tt0008318,1917.0
15688,tt0008321,1917.0
15841,tt0008355,1917.0
15855,tt0008359,1917.0
15879,tt0008362,1917.0
15899,tt0008365,1917.0
15925,tt0008369,1917.0
15933,tt0008370,1917.0
15940,tt0008371,1917.0
15989,tt0008386,1917.0
15996,tt0008387,1917.0
16006,tt0008388,1917.0
16046,tt0008395,1918.0
16101,tt0008406,1917.0
16107,tt0008407,1917.0
16127,tt0008413,1917.0
16149,tt0008417,1917.0
16163,tt0008419,1917.0
16182,tt0008423,1917.0
16210,tt0008430,1916.0
16248,tt0008440,1917.0
16268,tt0008443,1917.0
16274,tt0008444,1917.0
16293,tt0008449,1917.0
16332,tt0008454,1917.0
16358,tt0008458,1917.0
16422,tt0008468,1917.0
16434,tt0008472,1917.0
16523,tt0008498,1917.0
16528,tt0008499,1917.0
16540,tt0008502,1917.0
16612,tt0008517,1917.0
16619,tt0008519,1917.0
16642,tt0008526,1917.0
16682,tt0008536,1917.0
16706,tt0008539,1917.0
16722,tt0008541,1917.0
16775,tt0008551,1917.0
16791,tt0008554,1917.0
16897,tt0008571,1917.0
16905,tt0008572,1917.0
16934,tt0008579,1917.0
16954,tt0008585,1917.0
16960,tt0008586,1917.0
16966,tt0008587,1917.0
17001,tt0008592,1917.0
17008,tt0008593,1917.0
17052,tt0008602,1917.0
17105,tt0008611,1917.0
17149,tt0008622,1917.0
17172,tt0008625,1917.0
17215,tt0008634,1917.0
17261,tt0008644,1917.0
17281,tt0008652,1917.0
17299,tt0008659,1917.0
17338,tt0008666,1917.0
17360,tt0008671,1917.0
17368,tt0008672,1917.0
17451,tt0008685,1917.0
17519,tt0008706,1917.0
17527,tt0008708,1917.0
17544,tt0008710,1917.0
17557,tt0008714,1917.0
17578,tt0008717,1917.0
17601,tt0008720,1917.0
17749,tt0008756,1917.0
17761,tt0008760,1917.0
17766,tt0008762,1917.0
17772,tt0008763,1917.0
17780,tt0008764,1917.0
17856,tt0008781,1917.0
17862,tt0008783,1917.0
17881,tt0008786,1917.0
18013,tt0008813,1918.0
18032,tt0008817,1919.0
18049,tt0008822,1918.0
18081,tt0008827,1918.0
18098,tt0008830,1918.0
18099,tt0008835,1918.0
18143,tt0008843,1919.0
18149,tt0008845,1918.0
18154,tt0008849,1918.0
